"id","userprofile_id","klass_id"
"782","681","89"
"783","681","87"
"784","682","88"
"785","682","90"
"786","682","92"
"787","683","91"
"788","684","91"
"789","685","91"
"790","686","92"
"791","687","93"
"792","688","93"
"793","689","93"
"794","690","93"
"795","691","93"
"796","692","94"
"797","693","94"
"798","694","94"
"799","695","94"
"800","696","94"
"801","697","95"
"802","698","95"
"803","699","95"
"804","700","95"
"805","701","95"
"806","702","96"
"807","703","96"
"808","704","96"
"809","705","96"
"810","706","96"
"811","707","97"
"812","708","97"
"813","709","97"
"814","710","97"
"815","711","97"
"816","712","98"
"817","713","98"
"818","714","98"
"819","715","98"
"820","716","98"
"821","717","99"
"822","718","99"
"823","719","99"
"719","621","57"
"722","569","58"
"723","624","58"
"824","720","99"
"825","721","99"
"826","722","100"
"827","723","100"
"828","724","100"
"829","725","100"
"830","726","100"
"831","727","101"
"832","728","101"
"833","729","101"
"834","730","101"
"835","731","101"
"836","732","99"
"837","733","100"
"838","734","101"
"839","735","93"
"840","736","94"
"841","737","95"
"842","738","96"
"843","739","97"
"844","740","98"
"845","741","106"
"846","742","106"
"847","743","106"
"848","744","106"
"849","745","106"
"850","746","106"
"851","747","106"
"852","748","106"
"853","749","106"
"854","750","106"
"855","751","106"
"856","752","106"
"857","753","106"
"858","754","106"
"859","755","106"
"860","756","106"
"861","757","106"
"862","758","106"
"863","759","106"
"864","760","106"
"865","761","106"
"866","762","106"
"867","763","106"
"868","764","106"
"869","765","106"
"870","766","106"
"871","767","106"
"872","768","106"
"873","769","106"
"874","770","106"
"875","771","106"
"876","772","106"
"877","773","106"
"878","774","106"
"879","775","106"
"880","776","106"
"881","777","106"
"882","778","106"
"883","779","106"
"884","780","106"
"885","781","106"
"886","782","106"
"887","783","106"
"888","784","106"
"889","785","106"
"890","786","106"
"891","787","106"
"892","788","106"
"893","789","106"
"894","790","106"
"895","791","106"
"896","792","106"
"1276","882","102"
"1278","883","102"
"1280","885","102"
"1282","887","102"
"903","680","86"
"904","732","100"
"905","732","101"
"906","733","99"
